Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,159.00,160.289993,158.410004,160.020004,2737400,160.020004
2016-12-01,161.949997,162.199997,158.300003,159.820007,4621300,159.820007
2016-11-30,163.350006,163.800003,162.210007,162.220001,4319400,162.220001
2016-11-29,164.00,164.410004,163.029999,163.529999,3130200,163.529999
2016-11-28,163.199997,164.660004,162.699997,164.520004,4435900,164.520004
2016-11-25,161.830002,163.190002,161.830002,163.139999,1605300,163.139999
2016-11-23,161.940002,162.380005,161.360001,161.979996,2252700,161.979996
2016-11-22,163.00,163.00,161.949997,162.669998,2707900,162.669998
2016-11-21,160.690002,163.00,160.369995,162.770004,4601900,162.770004
2016-11-18,159.800003,160.720001,159.210007,160.389999,2958700,160.389999
2016-11-17,159.220001,159.929993,158.850006,159.800003,2256400,159.800003
2016-11-16,158.460007,159.550003,158.029999,159.289993,2244100,159.289993
2016-11-15,158.419998,159.149994,157.550003,158.669998,3385600,158.669998
2016-11-14,161.25,161.860001,157.580002,158.210007,5180400,158.210007
2016-11-11,159.970001,161.339996,159.330002,161.270004,4436400,161.270004
2016-11-10,157.660004,161.160004,157.589996,160.220001,7715800,160.220001
2016-11-09,152.960007,155.559998,151.00,154.809998,5386600,154.809998
2016-11-08,154.559998,155.929993,153.059998,155.169998,3921900,155.169998
2016-11-07,153.990005,156.110001,153.839996,155.720001,3804900,154.320006
2016-11-04,152.399994,153.639999,151.869995,152.429993,2470400,151.059576
2016-11-03,152.509995,153.740005,151.800003,152.369995,2878800,151.000118
2016-11-02,152.479996,153.350006,151.669998,151.949997,3074400,150.583896
2016-11-01,153.50,153.910004,151.740005,152.789993,3191900,151.41634
2016-10-31,152.759995,154.330002,152.759995,153.690002,3553200,152.308258
2016-10-28,154.050003,154.440002,152.179993,152.610001,3654500,151.237965
2016-10-27,152.820007,154.059998,152.020004,153.350006,4229300,151.971318
2016-10-26,150.710007,152.940002,150.259995,151.809998,2811700,150.445155
2016-10-25,150.570007,151.160004,149.830002,150.880005,2647500,149.523523
2016-10-24,150.399994,151.520004,150.399994,150.570007,2666700,149.216313
2016-10-21,150.580002,151.149994,149.559998,149.630005,4414200,148.284761
2016-10-20,151.279999,152.899994,151.020004,151.520004,4023100,150.157769
2016-10-19,151.270004,152.449997,150.830002,151.259995,4632900,149.900097
2016-10-18,150.020004,151.00,147.789993,150.720001,12770600,149.364958
2016-10-17,154.449997,155.889999,154.339996,154.770004,5890400,153.37855
2016-10-14,154.470001,155.529999,154.089996,154.449997,4358200,153.061419
2016-10-13,153.699997,154.220001,152.270004,153.720001,2909900,152.337987
2016-10-12,154.970001,154.970001,153.080002,154.289993,2964000,152.902854
2016-10-11,156.729996,156.949997,153.889999,154.789993,2901300,153.398359
2016-10-10,156.710007,158.490005,156.660004,157.020004,2481300,155.608321
2016-10-07,157.139999,157.699997,154.860001,155.669998,2671900,154.270452
2016-10-06,156.839996,157.429993,155.889999,156.880005,1950100,155.46958
2016-10-05,157.070007,157.830002,156.720001,157.080002,1684500,155.667779
2016-10-04,157.669998,158.529999,155.820007,156.460007,2884100,155.053358
2016-10-03,158.059998,158.369995,157.020004,157.610001,2227800,156.193013
2016-09-30,158.899994,159.839996,158.059998,158.850006,3596900,157.42187
2016-09-29,158.630005,165.00,157.460007,158.110001,3374800,156.688518
2016-09-28,156.990005,158.630005,156.229996,158.289993,3310000,156.866892
2016-09-27,154.320007,156.770004,153.809998,156.770004,2987200,155.360569
2016-09-26,154.460007,154.460007,153.460007,153.979996,2533300,152.595644
2016-09-23,155.619995,156.039993,154.710007,154.979996,2702200,153.586653
2016-09-22,156.149994,157.220001,155.690002,156.110001,2691100,154.706499
2016-09-21,154.910004,155.679993,153.869995,155.529999,2473900,154.131712
